Gene Name,Group,G4E,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Epi25 DM p-value,Epi25 PTV p-value,Unified Model p-value
LMO1,NAFE,False,37,9.47113093214593e-05,0.0932097227817842,0.505292548067935,9.018560596894648e-05,0.011692437741162454,,0.065298,5.853708384830428e-05
HHLA2,NAFE,False,127,0.03156580161221916,0.0678184496514897,0.003606286549185019,0.12458089822753896,0.8528828049851593,,0.56436,6.220347592690346e-05
SLC5A1,DEE,False,104,2.230157675348582e-06,0.4314067120830758,0.6170687188370677,0.006476799678617431,2.2427535311456995e-09,,0.98812,6.428040912838545e-05
PRR11,DEE,False,69,2.9628968858471126e-06,0.652164150008889,0.8100917133577714,0.0424587414613454,6.187691732691937e-06,,0.11964,6.513167494445914e-05
LONP1,DEE,False,260,0.021249303708613707,0.7490334646431415,0.006688154570701827,4.211384079099467e-08,0.5913472447857291,,0.0043325,6.59210238053173e-05
GOT2,DEE,True,84,0.3563459068584214,0.4249344123342603,0.03387506735599487,2.8093973221812933e-08,0.05588256649150159,,0.053325,6.727541500757432e-05
PLPPR5,DEE,False,52,0.22117307703928785,0.9348828461774202,8.338028823307402e-05,1.7663033815269063e-05,0.9060033344230752,0.0064916,0.0028938,7.085851009723257e-05
DZIP1L,DEE,False,170,0.9093478155865742,0.2993431370785993,9.487004036039412e-06,2.5633425331173225e-07,3.8437734095806e-10,,0.77955,7.144166021323674e-05
NCAN,DEE,False,272,0.0866477081665169,0.015049482751876583,0.0014015959341713866,0.01873448225389656,2.490148670603319e-08,0.011713,0.80512,7.162167935151711e-05
LSM1,DEE,False,25,0.3577861380010502,0.09143021040884476,0.09804144295467837,7.596125141017802e-08,0.07399707948851018,,0.016568,7.231803686386687e-05
POLR3H,GGE,False,71,0.7802846400461949,0.06486727047463328,0.34456045928112267,1.8411629226881485e-08,0.005597609464593003,,0.00054129,7.839723820267468e-05
STX1B,DEE,True,42,0.12623902842199985,0.36473523368161875,0.5643711185094645,1.640826450315625e-08,0.6893357211137816,0.0013502,2.2855e-07,7.943852508137586e-05
SCN5A,GGE,False,425,0.24970429780675957,0.4243980166247091,5.879112993047734e-05,7.396440463279133e-05,0.5511923166278414,,0.4647,8.105181193433172e-05
FAM120AOS,GGE,False,69,0.00018359678631604007,0.008870071436107976,0.3419049159598003,0.8339996786790804,4.221133551545453e-06,0.79422,0.34935,8.219712829014232e-05
YTHDF2,NAFE,False,91,7.947317784748339e-06,0.1006888375014055,0.019034043161656456,0.6476654835053446,0.5377699424734036,,0.90404,8.32833043979534e-05
VANGL2,DEE,False,103,0.9808636170614434,0.026014206046641446,0.30584528561174484,4.2712436752769775e-09,0.7530614750645062,,0.094087,8.530869617565965e-05
MELK,DEE,False,132,2.0735258682701443e-05,0.4165754053733769,0.14796895056326262,4.0572079691865687e-13,1.7481600897006884e-08,,0.9845,8.553575083699147e-05
FBXO15,GGE,False,117,0.7361537457690461,0.03716767095933102,3.7389992178487305e-06,0.011632170675579265,0.47731317439356047,,0.37829,8.625469160380762e-05
RPL32,DEE,False,28,0.48452332958363686,5.949057390930605e-06,0.2381585827796384,,3.680638853874433e-14,,,8.750099457168453e-05
INO80D,DEE,False,188,0.10716451085745127,0.9617082641539498,0.004036082981325129,1.4223005220317982e-05,0.5312544072625534,0.47954,0.3498,8.79323022318889e-05
PPP1R37,DEE,False,172,8.247713492710262e-05,0.12298397975701658,0.8461607247395244,1.2453391446622642e-07,0.019154213758495974,,0.022858,9.029266760505698e-05
SCN1A,NAFE,True,311,0.012487046035180546,0.27111362953741763,0.016488431604328713,0.004626236974261458,0.3050462042052166,0.378,0.0041681,9.136794580578313e-05
PAK5,NAFE,False,179,0.37249005186138573,0.5114400196082928,0.25144398804062446,8.30570188626665e-10,0.19149936790664387,,0.078014,9.197515063295957e-05
CENPJ,DEE,False,322,3.3457543296034925e-05,0.19219582571844734,0.01946410452185198,0.8557887675718711,0.9147634146503628,,0.42286,9.244001747114884e-05
BOD1L2,DEE,False,34,0.0006268135467632115,0.2673087705976076,0.4821129649543664,0.017060651230876564,0.001993311261160685,,0.012657,9.334845342901699e-05
SNTB1,DEE,False,135,6.703257420044746e-06,0.9111796636815346,0.06492804729563219,3.0131082259709234e-05,0.0006904163846831925,,0.072271,9.545236073684237e-05
CORO1C,DEE,False,66,4.203819862968043e-06,0.15854467816746926,0.2665242505879267,0.003295134098788372,0.0005616718124603225,0.41456,0.2235,9.601554787900813e-05
SLC30A5,DEE,False,113,2.5974499993765624e-05,0.23160856682230854,0.25146686175570315,0.010833352406333813,0.004350484575401329,,0.027476,9.695484309464181e-05
NDEL1,DEE,False,55,3.2144503113632884e-05,0.05203090939543527,0.6986841802131991,0.010429357755127551,0.00023432139070222248,,0.47641,9.905849598960747e-05
