Gene ID,Gene Name,Group,Constraint p-value,Pathogenicity p-value,pLoF p-value,Unified Model p-value,Epi25 p-value
ENSG00000007516,BAIAP3,DEE,0.0414769906041617,0.0187425027996099,0.6722157578224484,0.0182299130356845,
ENSG00000007520,TSR3,DEE,0.863548512212621,0.6441326425749598,0.8649355848944985,0.9566307899186852,
ENSG00000007541,PIGQ,DEE,0.0076344253762731,0.814736190253783,0.2108826577180475,0.0307841242487691,
ENSG00000007545,CRAMP1,DEE,0.0982664253887929,0.2724457692021174,0.9092180460053796,0.2233352644459977,0.69794
ENSG00000007908,SELE,DEE,0.566523502543985,0.8353096665037044,0.6998349817221965,0.9130265713576832,
ENSG00000007923,DNAJC11,DEE,0.9927641277310062,0.7462225390162327,0.9883122073082968,0.9910850537938272,
ENSG00000007933,FMO3,DEE,0.9770171048731224,0.3281128300278739,0.2906716608835283,0.528883559800823,
ENSG00000007944,MYLIP,DEE,0.9986117033858106,0.9006664198973497,0.9926961357382992,0.999465816032858,
ENSG00000007968,E2F2,DEE,0.7502098040123567,0.0155687630632785,,0.052154728973122,
ENSG00000008018,PSMB1,DEE,0.5598535543882596,0.2656803006940521,,0.3690935190357156,
ENSG00000008083,JARID2,DEE,0.0359640781609963,0.8159041269115626,0.9911079964821242,0.2140042739375227,0.85089
ENSG00000008118,CAMK1G,DEE,0.2594170370087116,0.5853175868987797,0.3694867759920582,0.5742106223228388,0.60815
ENSG00000008130,NADK,DEE,0.891080061813849,0.5748009917161885,0.871418430567385,0.9502942897533208,
ENSG00000008196,TFAP2B,DEE,0.0269300415934349,0.0954363813313968,,0.0266226354436474,
ENSG00000008197,TFAP2D,DEE,0.8386213215114162,0.9726659174871396,0.0062869656476923,0.0542421526625212,
ENSG00000008226,DLEC1,DEE,0.6280671032375278,0.6374471973314302,0.1659246821991229,0.4293496215407348,
ENSG00000008256,CYTH3,DEE,0.8014345742197553,0.1653897993978589,0.8420135653529154,0.4994716904285874,0.29119
ENSG00000008277,ADAM22,DEE,0.607185271925439,0.0898550596834984,0.9865878418577748,0.3963374665202774,
ENSG00000008282,SYPL1,DEE,0.8789044192407443,0.4925660218345878,,0.7745430047967253,
ENSG00000008283,CYB561,DEE,0.726165348925361,0.0713326714165146,0.0020574851389859,0.009863900157911,
ENSG00000008294,SPAG9,DEE,0.3853159847071692,0.8109133178193001,0.9967630452527494,0.8542885712929084,0.87367
ENSG00000008300,CELSR3,DEE,0.0022515711006086,0.8095545246563747,0.3840223711687932,0.0167240137766164,0.24918
ENSG00000008311,AASS,DEE,0.0327122371086121,0.9607747296414156,0.4771187162132156,0.1747231373565605,
ENSG00000008323,PLEKHG6,DEE,0.0808068809421155,0.6818325702372938,0.934775009902848,0.3421923781968029,
ENSG00000008324,SS18L2,DEE,0.3787583329880049,0.0122706114255241,,0.0347861885074958,
ENSG00000008382,MPND,DEE,0.5269623475889694,0.4755886691884415,0.9215606464315996,0.8065611884137065,
