gene_id	gene_name	group	n_variants	p_constraint	p_gerp	p_pathogenicity	p_pLoF	p_missense	p_unified
ENSG00000002016	RAD52	SAS (exomes)	4						
ENSG00000002016	RAD52	meta	165	0.15401027764839514	0.2558885374407978	0.6121672791005187	0.7584183735313431	0.5676571250302214	0.34603135923591494
ENSG00000002330	BAD	AFR (genomes)	3						
ENSG00000002330	BAD	AMR (exomes)	2						
ENSG00000002330	BAD	ASJ (exomes)	1						nan
ENSG00000002330	BAD	EAS (exomes)	4						
ENSG00000002330	BAD	EST (genomes)	1						nan
ENSG00000002330	BAD	EUR (exomes)	20	0.641984454952631	0.6997383689165891	0.2443641998575044	0.8352951320971771	0.789866154713156	0.5467929700127923
ENSG00000002330	BAD	EUR-N (exomes)	6	1.0	0.9035804954617788	0.9919407684488196	3.873595745252406e-15	1.7117183821431817e-15	1.0
ENSG00000002330	BAD	GPC_Latino_AMR	1						nan
ENSG00000002330	BAD	SAS (exomes)	1						nan
ENSG00000002330	BAD	meta	68	0.8093815319864628	0.07000473051583662	0.8142012193064271	0.27778022648826894	0.41186117724572935	0.3442773568350895
ENSG00000002549	LAP3	AFR (exomes)	2						
ENSG00000002549	LAP3	AFR (genomes)	14	0.8048446233548903	0.2123130086803275	0.21961497475684677	0.3839951419556371	0.7979321770512778	0.6099463130980356
ENSG00000002549	LAP3	AMR (exomes)	7	0.35893253190341223	0.3651900642083099	0.3404410737429109	0.8238742601386165	0.4134614588008634	0.7304457927338316
ENSG00000002549	LAP3	ASJ (exomes)	4						
ENSG00000002549	LAP3	EAS (exomes)	7	0.9522597982730583	0.4346249820989645	0.9495132832778033	0.8633942691655272	0.6570533968001067	0.7088505068838798
ENSG00000002549	LAP3	EST (genomes)	4	0.02784239286029766	0.025513567276509684	0.02300107560383878		0.027842392860297816	0.02802081758598014
ENSG00000002549	LAP3	EUR (exomes)	58	0.6565317578147424	0.23135313349412265	0.35518265107650215	0.7544866277614983	0.6983338501217	0.5565056928759512
ENSG00000002549	LAP3	EUR-N (exomes)	25	0.21069230735524241	0.4111316410672814	0.9559785937685974	0.41851342909317857	0.08673750869273732	0.35753726524319285
ENSG00000002549	LAP3	FIN (exomes)	2						
ENSG00000002549	LAP3	SAS (exomes)	3						
ENSG00000002549	LAP3	meta	171	0.5642831885602089	0.7700767370759679	0.9676509338495738	0.5945349920578642	0.01217380044185988	0.8294502814014493
ENSG00000002587	HS3ST1	AFR (exomes)	5	0.6826919649487321	0.9227123462348241	0.5884083172049832		0.6826919649487323	0.830007657923416
ENSG00000002587	HS3ST1	AFR (genomes)	11	0.17231438067310745	0.15969069927941995	0.10206306602452424	0.22933969026650977	0.7954352359362791	0.2204366712388742
ENSG00000002587	HS3ST1	AMR (exomes)	5	0.8488637072898955	0.574484555210498	0.3286088942592926		0.8488637072898955	0.5435129424589966
ENSG00000002587	HS3ST1	ASJ (exomes)	3						
ENSG00000002587	HS3ST1	EAS (exomes)	2						
ENSG00000002587	HS3ST1	EST (genomes)	6	0.5988667639756518	0.14762990905407244	0.09993522453572172	0.5770462680837649	0.652592798572427	0.25174849765454127
ENSG00000002587	HS3ST1	EUR (exomes)	35	0.9977747341345338	0.2439533477800396	0.12932726510449824		0.25283934151883153	0.41245108101861816
ENSG00000002587	HS3ST1	EUR-N (exomes)	25	0.7275827740641603	0.8423424299857807	0.6956492081868565	0.43169972826267533	0.5844462662380716	0.826063354948053
ENSG00000002587	HS3ST1	FIN (exomes)	4						
ENSG00000002587	HS3ST1	FIN (genomes)	1						nan
ENSG00000002587	HS3ST1	meta	140	0.03670061629607487	0.34331737674638574	0.06349623053027612	0.7685064965361775	0.01159258844677753	0.05713421073811652
ENSG00000002726	AOC1	AFR (exomes)	3						
ENSG00000002726	AOC1	AFR (genomes)	28	0.21380615637685055	0.6949778189029899	0.6484761452613597	0.530301510278358	0.7192451854291753	0.7686825934827296
ENSG00000002726	AOC1	AMR (exomes)	31	0.08559711720116418	0.3499497431606927	0.0014547078119016947	0.9854720356500736	0.5263306369564791	0.002275959059019638
ENSG00000002726	AOC1	ASJ (exomes)	2						
ENSG00000002726	AOC1	EAS (exomes)	27	0.28492753153938644	0.34359282740919195	0.8118899456370983	0.21841921774501144	0.6715457480031659	0.4478342114263769
ENSG00000002726	AOC1	EST (genomes)	11	0.5028734361711856	0.34877707880718734	0.37869519494622594		0.4507128770725771	0.7032472078691621
ENSG00000002726	AOC1	EUR (exomes)	97	0.18671009141452743	0.05639121553247124	0.29106574392665097	0.05470864913077009	0.7148533995129401	0.11043914284296748
ENSG00000002726	AOC1	EUR-N (exomes)	63	0.3622242506279483	0.7918090969821289	0.15268163203528062	0.5497441982556048	0.4986116618377848	0.5561568032621649
ENSG00000002726	AOC1	FIN (exomes)	8	0.1258884637572806	0.817095682580577	0.5733969928708943	0.9667990368619463	0.7422721774596136	0.45208197073516027
ENSG00000002726	AOC1	GPC_Latino_AMR	1						nan
ENSG00000002726	AOC1	meta	326	0.9672474059696048	0.7192417067451313	0.3661115836360386	0.0009867834572883079	0.06918558818211405	0.5813569467844689
ENSG00000002745	WNT16	AFR (exomes)	5	0.9491075475176839	0.929234358639125	0.8082789318380542		1.2790139248250464e-15	1.0
ENSG00000002745	WNT16	AFR (genomes)	14	0.3823379078769874	0.528980300217363	0.2743212906458605	0.17333430050904836	0.28295993071016506	0.20224029302964897
