Gene ID,Gene Name,Group,# of Variants,Constraint p-value,GERP p-value,Pathogenicity p-value,pLoF p-value,Missense p-value,Unified Model p-value,Epi25 DM p-value,Epi25 PTV p-value
ENSG00000006712,PAF1,DEE,78,0.2390416411410388,0.8303279126340204,0.0862617939776128,0.0283498593893165,0.000141192785999,0.5300037155919302,0.28174,0.70465
ENSG00000006715,VPS41,DEE,142,0.0097010272400247,0.8737541159068442,0.1369965132102546,4.548041452580067e-05,2.0789582081637493e-11,0.0390745010952583,,0.65283
ENSG00000006740,ARHGAP44,DEE,147,0.2686066679714845,0.2470579482037094,0.4335021085162144,9.95694987809594e-05,4.0291252796705276e-07,0.5106939423305582,,0.98064
ENSG00000006744,ELAC2,DEE,182,0.0001397208535541,0.2105145966240012,0.8147399022547446,0.0001026494390339,3.244968832931185e-19,0.0009098953034565,,0.5744
ENSG00000006747,SCIN,DEE,208,0.9548628282957424,0.1979664573423771,0.4618129641627564,1.554200098883484e-06,1.964037548082989e-12,0.7134047556488818,,0.76576
ENSG00000006788,MYH13,DEE,505,0.0848407227127604,0.7239459497792788,0.0125338180190093,1.0782589900378118e-17,6.137975486100022e-20,0.0063640116301707,,0.13364
ENSG00000006831,ADIPOR2,DEE,39,0.5714320360372489,0.4969759837570399,0.3339038813692219,0.0685605994614525,1.5138398282560518e-05,0.7395167941606988,0.61668,0.66272
ENSG00000006837,CDKL3,DEE,88,0.9158976645806454,0.2676176632298056,0.6146116670713199,5.578754547287987e-06,6.333934802858715e-11,0.8408321132539125,,0.4936
ENSG00000007001,UPP2,DEE,96,0.6172789268203964,0.3620891320939239,0.578729324267426,0.5396820953660799,0.7896315539259169,0.8495084942900802,,0.22016
ENSG00000007038,PRSS21,DEE,105,0.8166887672650226,0.6386786080233362,0.891374876430887,1.3501380754625093e-05,2.084432108960496e-07,0.9679445743509332,,0.36172
ENSG00000007047,MARK4,DEE,124,0.5594579573790069,0.3919084771060517,0.5920041256762327,0.0714386814123974,0.0019556442227724,0.8475884339217081,0.54137,0.22619
ENSG00000007062,PROM1,DEE,209,0.9659795584355056,0.7561074508576884,0.8020861846869164,2.9699209593290314e-09,2.241136256926724e-17,0.996872455813402,,0.35263
ENSG00000007080,CCDC124,DEE,47,0.5924297207942681,0.9844066474411926,0.4496217089105576,0.0015967882370482,0.0013624293145602,0.8259496273635897,,0.1396
ENSG00000007129,CEACAM21,DEE,82,0.90592377490526,0.660700125746001,0.6799366378691005,0.0459716528210161,3.401095184768661e-08,0.8500667538621525,,0.69472
ENSG00000007168,PAFAH1B1,DEE,29,0.901160558624292,0.5213416840657754,0.9356907918364388,,4.6077894030126737e-10,0.9308091080220232,0.94455,
ENSG00000007171,NOS2,DEE,221,0.9787990866378996,0.0778209214905331,0.4847561940415246,1.3309369490332878e-08,2.338873123264914e-12,0.3196961292712379,0.87342,0.54276
ENSG00000007174,DNAH9,DEE,1068,0.0005070280971966,0.3562341897721381,0.3410723517148855,1.1436655478753745e-21,1.166264818918462e-62,0.0067147429735667,,0.3851
ENSG00000007216,SLC13A2,DEE,174,0.0035764453563779,0.1860156696458522,0.8078341745428304,2.888200238141981e-05,1.556774496496311e-09,0.0337717024640756,,0.50426
ENSG00000007237,GAS7,DEE,82,0.6284405657315554,0.205102983531026,0.2854034518339278,0.2885568189709024,0.0424287355907171,0.3038576571903294,0.99819,0.11279
ENSG00000007255,TRAPPC6A,DEE,63,0.6162263282175118,0.90772320535864,0.6042043767281802,0.0304798698024231,0.0010097659309474,0.9726087061719948,,0.70896
ENSG00000007264,MATK,DEE,135,0.2314085795602796,0.2162996892776967,0.7291572633754633,0.0179604094365435,1.409390063987966e-05,0.5497698393208897,,0.33525
ENSG00000007306,CEACAM7,DEE,76,0.941467682690372,0.1974486708804764,0.06872720175915,0.3009464309275302,0.000280940409634,0.3815874252478908,,0.42139
ENSG00000007312,CD79B,DEE,31,0.4189166375396621,0.1004887923997003,0.0902559757705614,,3.7428459436599576e-10,0.2122222062319196,,
ENSG00000007314,SCN4A,DEE,471,0.7566686275253879,0.5298816802723514,0.5295470167887365,1.3293043430909508e-05,5.576690259817532e-19,0.9155393833526606,,0.87093
ENSG00000007341,ST7L,DEE,99,0.0326513976485699,0.942672470354854,0.6625495172046947,0.0030107812101018,3.584328300780283e-11,0.2786706503642743,,0.92752
ENSG00000007372,PAX6,DEE,47,0.8944394880553037,0.4165602197055041,0.6012986826217714,,2.4075201133060283e-22,0.830961298412997,0.98183,0.20804
ENSG00000007376,RPUSD1,DEE,119,0.77694428116692,0.9912614504705451,0.0593768234084466,0.6704169081085745,0.5340705717799304,0.4831366793701976,,0.6877
ENSG00000007384,RHBDF1,DEE,234,0.3918541349155608,0.0793381472666713,0.2759533697589597,0.0055492711476628,7.9466936036961e-08,0.3172096482404348,0.82521,0.92238
ENSG00000007392,LUC7L,DEE,103,0.950199033457925,0.5124610105313121,0.4732636097392261,4.8916170173683485e-05,2.745248414375397e-05,0.6182447274080392,,0.18864
ENSG00000007402,CACNA2D2,DEE,201,0.553422823403773,0.0381396776993563,0.1355835871706021,3.1835804996562835e-08,0.0091701101065891,0.0044564565200509,0.068298,0.04814
ENSG00000007516,BAIAP3,DEE,419,0.0708119452055014,0.8569278732922143,0.0378489499007124,6.645384121817483e-06,2.6563492431035996e-20,0.0717479131895568,,0.7434
ENSG00000007520,TSR3,DEE,83,0.9217873434363656,0.1204697534712592,0.2692363650836641,0.0061060234512251,2.202207849061359e-05,0.5097955919059936,,0.20828
ENSG00000007541,PIGQ,DEE,247,0.0074389361148472,0.0911685174129282,0.6227072731982546,9.484216766506794e-05,2.010576012014409e-21,0.0198371802714835,,0.5145
ENSG00000007545,CRAMP1,DEE,303,0.0835205903861883,0.2012883695420624,0.6145024404489177,0.0332801631911954,5.573745045941672e-06,0.290794162459354,0.69794,0.36359
